state,value
Alabama,10040.35056
Alaska,7130.171099
Arizona,10956.94163
Arkansas,8246.689158
California,9346.006397
Colorado,10257.19093
Connecticut,11733.98608
Delaware,11934.50455
District of Columbia,7844
Florida,6355.92996
Georgia,8453.230124
Hawaii,10671.47084
Idaho,7009.763363
Illinois,13277.72823
Indiana,9200.740109
Iowa,8271.027889
Kansas,8917.436683
Kentucky,9952.746604
Louisiana,8899.63303
Maine,9687.299414
Maryland,9366.36794
Massachusetts,12275.50488
Michigan,12463.68378
Minnesota,10952.12947
Mississippi,7408.692349
Missouri,8631.660473
Montana,6409.007627
Nebraska,7882.933776
Nevada,6906.843158
New Hampshire,15650.18283
New Jersey,13560.16397
New Mexico,6617.738624
New York,7707.235063
North Carolina,7202.917905
North Dakota,7884.448684
Ohio,10265.8208
Oklahoma,8025.673205
Oregon,9692.592014
Pennsylvania,13883.50792
Puerto Rico,2134.038665
Rhode Island,11407.10383
South Carolina,12191.62084
South Dakota,8137.579091
Tennessee,9518.347016
Texas,9566.007739
Utah,6581.410154
Vermont,15446.09362
Virginia,12322.62883
Washington,9265.049099
West Virginia,7488.332475
Wisconsin,8927.912734
Wyoming,5055
,
In Current Dollars,2016-17
Alabama,10040.35056
Alaska,7130.171099
Arizona,10956.94163
Arkansas,8246.689158
California,9346.006397
Colorado,10257.19093
Connecticut,11733.98608
Delaware,11934.50455
District of Columbia,7844
Florida,6355.92996
Georgia,8453.230124
Hawaii,10671.47084
Idaho,7009.763363
Illinois,13277.72823
Indiana,9200.740109
Iowa,8271.027889
Kansas,8917.436683
Kentucky,9952.746604
Louisiana,8899.63303
Maine,9687.299414
Maryland,9366.36794
Massachusetts,12275.50488
Michigan,12463.68378
Minnesota,10952.12947
Mississippi,7408.692349
Missouri,8631.660473
Montana,6409.007627
Nebraska,7882.933776
Nevada,6906.843158
New Hampshire,15650.18283
New Jersey,13560.16397
New Mexico,6617.738624
New York,7707.235063
North Carolina,7202.917905
North Dakota,7884.448684
Ohio,10265.8208
Oklahoma,8025.673205
Oregon,9692.592014
Pennsylvania,13883.50792
Puerto Rico,2134.038665
Rhode Island,11407.10383
South Carolina,12191.62084
South Dakota,8137.579091
Tennessee,9518.347016
Texas,9566.007739
Utah,6581.410154
Vermont,15446.09362
Virginia,12322.62883
Washington,9265.049099
West Virginia,7488.332475
Wisconsin,8927.912734
Wyoming,5055
,
,
,
,
